canonical_player_key,fplreview_id,fplreview_name,fplreview_team,fpl_position,statfootdb_player_id,statfootdb_player_name,match_method,match_score,identity_status,understat_player_id,understat_player_name,identity_source,allocation_source
fplreview:1,1,Raya,ARS,GKP,562727.0,David Raya,surname_or_fuzzy_team,0.93,statfootdb_matched,9676.0,David Raya,statfootdb,understat_np_xg
fplreview:4,4,Gabriel,ARS,DEF,795179.0,Gabriel,exact_name_team,1.0,statfootdb_matched,5613.0,Gabriel,statfootdb,understat_np_xg
fplreview:11,11,Mosquera,ARS,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:10,10,White,ARS,DEF,776151.0,Ben White,surname_or_fuzzy_team,0.93,statfootdb_matched,7298.0,Ben White,statfootdb,understat_np_xg
fplreview:15,15,Ødegaard,ARS,MID,534670.0,Martin Ødegaard,surname_or_fuzzy_team,0.93,statfootdb_matched,2517.0,Martin Odegaard,statfootdb,understat_np_xg
fplreview:8,8,Calafiori,ARS,DEF,1105912.0,Riccardo Calafiori,surname_or_fuzzy_team,0.93,statfootdb_matched,8129.0,Riccardo Calafiori,statfootdb,understat_np_xg
fplreview:557,557,Tzolis,ARS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:26,26,Havertz,ARS,FWD,749736.0,Kai Havertz,surname_or_fuzzy_team,0.93,statfootdb_matched,5220.0,Kai Havertz,statfootdb,understat_np_xg
fplreview:452,452,Bruno G.,ARS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:7,7,Lewis-Skelly,ARS,MID,1406436.0,Myles Lewis-Skelly,surname_or_fuzzy_team,0.93,statfootdb_matched,12272.0,Myles Lewis-Skelly,statfootdb,understat_np_xg
fplreview:12,12,Saka,ARS,MID,961995.0,Bukayo Saka,surname_or_fuzzy_team,0.93,statfootdb_matched,7322.0,Bukayo Saka,statfootdb,understat_np_xg
fplreview:13,13,Rice,ARS,MID,654096.0,Declan Rice,surname_or_fuzzy_team,0.93,statfootdb_matched,5553.0,Declan Rice,statfootdb,understat_np_xg
fplreview:20,20,Dowman,ARS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:25,25,Gyökeres,ARS,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:9,9,Hincapie,ARS,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:19,19,Zubimendi,ARS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:18,18,Martinelli,ARS,MID,1021586.0,Gabriel Martinelli,surname_or_fuzzy_team,0.93,statfootdb_matched,7752.0,Gabriel Martinelli,statfootdb,understat_np_xg
fplreview:14,14,Eze,ARS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:16,16,Madueke,ARS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:17,17,Merino,ARS,MID,574645.0,Mikel Merino,surname_or_fuzzy_team,0.93,statfootdb_matched,5304.0,Mikel Merino,statfootdb,understat_np_xg
fplreview:5,5,J.Timber,ARS,DEF,942381.0,Jurrien Timber,surname_or_fuzzy_team,0.93,statfootdb_matched,11707.0,Jurriën Timber,statfootdb,understat_np_xg
fplreview:22,22,Nwaneri,ARS,MID,1254234.0,Ethan Nwaneri,surname_or_fuzzy_team,0.93,statfootdb_matched,11132.0,Ethan Nwaneri,statfootdb,understat_np_xg
fplreview:27,27,G.Jesus,ARS,FWD,576165.0,Gabriel Jesus,surname_or_fuzzy_team,0.93,statfootdb_matched,5543.0,Gabriel Jesus,statfootdb,understat_np_xg
fplreview:2,2,Arrizabalaga,ARS,GKP,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:3,3,Meslier,ARS,GKP,,,,0.0,fplreview_only,,,,
fplreview:6,6,Saliba,ARS,DEF,955406.0,William Saliba,surname_or_fuzzy_team,0.93,statfootdb_matched,6888.0,William Saliba,statfootdb,understat_np_xg
fplreview:23,23,Fábio Vieira,ARS,MID,,,,0.0,fplreview_only,,,,
fplreview:24,24,Nelson,ARS,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:10009,10009,Tommy Setford,ARS,GKP,,,,0.0,fplreview_only,,,,
fplreview:10010,10010,Marli Salmon,ARS,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:10092,10092,Louie Copley,ARS,MID,,,,0.0,fplreview_only,,,,
fplreview:10093,10093,Demiane Agustien,ARS,MID,,,,0.0,fplreview_only,,,,
fplreview:28,28,Martinez,AVL,GKP,268375.0,Emiliano Martinez,surname_or_fuzzy_team,0.93,statfootdb_matched,4401.0,Emiliano Martinez,statfootdb,understat_np_xg
fplreview:31,31,Konsa,AVL,DEF,710159.0,Ezri Konsa,surname_or_fuzzy_team,0.93,statfootdb_matched,,,statfootdb,statfootdb_goals
fplreview:36,36,Maatsen,AVL,DEF,966026.0,Ian Maatsen,surname_or_fuzzy_team,0.93,statfootdb_matched,11807.0,Ian Maatsen,statfootdb,understat_np_xg
fplreview:32,32,Cash,AVL,DEF,729731.0,Matty Cash,surname_or_fuzzy_team,0.93,statfootdb_matched,,,statfootdb,statfootdb_goals
fplreview:47,47,Kamara,AVL,MID,816325.0,Boubacar Kamara,surname_or_fuzzy_team,0.93,statfootdb_matched,5789.0,Boubacar Kamara,statfootdb,understat_np_xg
fplreview:45,45,McGinn,AVL,MID,356406.0,John McGinn,surname_or_fuzzy_team,0.93,statfootdb_matched,7723.0,John McGinn,statfootdb,understat_np_xg
fplreview:55,55,Watkins,AVL,FWD,540088.0,Ollie Watkins,surname_or_fuzzy_team,0.93,statfootdb_matched,8865.0,Ollie Watkins,statfootdb,understat_np_xg
fplreview:160,160,Garnacho,AVL,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:41,41,Buendía,AVL,MID,610184.0,Emiliano Buendia,surname_or_fuzzy_team,0.93,statfootdb_matched,2203.0,Emiliano Buendía,statfootdb,understat_np_xg
fplreview:34,34,Pau,AVL,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:46,46,Barkley,AVL,MID,215384.0,Ross Barkley,surname_or_fuzzy_team,0.93,statfootdb_matched,592.0,Ross Barkley,statfootdb,understat_np_xg
fplreview:53,53,Manzambi,AVL,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:33,33,Mings,AVL,DEF,419664.0,Tyrone Mings,surname_or_fuzzy_team,0.93,statfootdb_matched,1024.0,Tyrone Mings,statfootdb,understat_np_xg
fplreview:37,37,Lindelöf,AVL,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:56,56,Abraham,AVL,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:35,35,Bogarde,AVL,MID,1190033.0,Lamare Bogarde,surname_or_fuzzy_team,0.93,statfootdb_matched,10025.0,Lamare Bogarde,statfootdb,understat_np_xg
fplreview:52,52,Alysson,AVL,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:44,44,Bailey,AVL,MID,671331.0,Leon Bailey,surname_or_fuzzy_team,0.93,statfootdb_matched,5221.0,Leon Bailey,statfootdb,understat_np_xg
fplreview:54,54,Gomes,AVL,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:49,49,Iling Jr,AVL,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:29,29,M.Bizot,AVL,GKP,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:30,30,Digne,AVL,DEF,210111.0,Lucas Digne,surname_or_fuzzy_team,0.93,statfootdb_matched,1823.0,Lucas Digne,statfootdb,understat_np_xg
fplreview:38,38,A.García,AVL,DEF,1430406.0,Andres Garcia,surname_or_fuzzy_team,0.93,statfootdb_matched,13392.0,Andrés García,statfootdb,understat_np_xg
fplreview:39,39,Nedeljkovic,AVL,DEF,1513910.0,Kosta Nedeljkovic,surname_or_fuzzy_team,0.93,statfootdb_matched,12775.0,Kosta Nedeljkovic,statfootdb,understat_np_xg
fplreview:48,48,Onana,AVL,MID,1185748.0,Amadou Onana,surname_or_fuzzy_team,0.93,statfootdb_matched,9667.0,Amadou Onana,statfootdb,understat_np_xg
fplreview:50,50,Burrowes,AVL,MID,,,,0.0,fplreview_only,,,,
fplreview:51,51,George Hemmings,AVL,MID,,,,0.0,fplreview_only,14193.0,George Hemmings,fplreview_supplement,understat_np_xg
fplreview:582,582,Madjo,AVL,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:10012,10012,Ronnie Hollingshead,AVL,GKP,,,,0.0,fplreview_only,,,,
fplreview:10013,10013,Rhys Oakley,AVL,GKP,,,,0.0,fplreview_only,,,,
fplreview:10014,10014,Modou Kéba Cissé,AVL,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:57,57,Petrović,BOU,GKP,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:61,61,Truffert,BOU,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:60,60,Hill,BOU,DEF,959407.0,James Hill,surname_or_fuzzy_team,0.93,statfootdb_matched,10747.0,James Hill,statfootdb,understat_np_xg
fplreview:69,69,Scott,BOU,MID,1233655.0,Alex Scott,surname_or_fuzzy_team,0.93,statfootdb_matched,12149.0,Alex Scott,statfootdb,understat_np_xg
fplreview:566,566,Silva,BOU,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:73,73,Adams,BOU,MID,729769.0,Tyler Adams,surname_or_fuzzy_team,0.93,statfootdb_matched,7352.0,Tyler Adams,statfootdb,understat_np_xg
fplreview:67,67,Rayan,BOU,MID,,,,0.0,fplreview_only,14395.0,Rayan,fplreview_supplement,understat_np_xg
fplreview:68,68,Tavernier,BOU,MID,789630.0,Marcus Tavernier,surname_or_fuzzy_team,0.93,statfootdb_matched,10741.0,Marcus Tavernier,statfootdb,understat_np_xg
fplreview:79,79,Evanilson,BOU,FWD,1098096.0,Evanilson,exact_name_team,1.0,statfootdb_matched,12963.0,Evanilson,statfootdb,understat_np_xg
fplreview:70,70,Kluivert,BOU,MID,794253.0,Justin Kluivert,surname_or_fuzzy_team,0.93,statfootdb_matched,6963.0,Justin Kluivert,statfootdb,understat_np_xg
fplreview:573,573,Sanchez,BOU,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:64,64,Smith,BOU,DEF,160447.0,Adam Smith,surname_or_fuzzy_team,0.93,statfootdb_matched,825.0,Adam Smith,statfootdb,understat_np_xg
fplreview:81,81,Rodríguez,BOU,FWD,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:77,77,Adli,BOU,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:74,74,Brooks,BOU,MID,674014.0,David Brooks,surname_or_fuzzy_team,0.93,statfootdb_matched,6820.0,David Brooks,statfootdb,understat_np_xg
fplreview:62,62,Diakité,BOU,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:71,71,Cook,BOU,MID,562724.0,Lewis Cook,surname_or_fuzzy_team,0.93,statfootdb_matched,1789.0,Lewis Cook,statfootdb,understat_np_xg
fplreview:72,72,Gannon-Doak,BOU,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:76,76,Tóth.A,BOU,MID,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:63,63,Milosavljević,BOU,DEF,,,,0.0,fplreview_only,,,fplreview_supplement,position_fallback
fplreview:66,66,Soler,BOU,DEF,1358655.0,Julio Soler,surname_or_fuzzy_team,0.93,statfootdb_matched,13474.0,Julio Soler,statfootdb,understat_np_xg
