match_id,date,team_name,opponent_name,player_name,best_decimal_odds,prob_1plus_goals_market,prob_1plus_goals,ags_prob_edge_market_minus_no_market,prob_first_goalscorer_market,prob_first_goalscorer,fgs_prob_edge_market_minus_no_market,team_market_player_count,market_coverage_warning,expected_goals_market_implied_normalized,expected_goals_no_market,allocation_source,identity_source
upcoming_eng_1_401879287,2026-09-05,Man City,Coventry,Erling Haaland,2.326,0.8923207208481847,0.3981394438349597,0.494181277013225,0.631887680187122,0.1440742561517641,0.4878134240353579,1,incomplete_team_market_player_set,2.228598107463482,0.5077294947820203,understat_np_xg,statfootdb
upcoming_eng_1_401879271,2026-09-19,Newcastle,Hull,Alexander Isak,2.674,0.855843104491383,0.3462860543400129,0.5095570501513701,0.6154691136190641,0.1351808611482118,0.4802882524708523,1,incomplete_team_market_player_set,1.9368530203941068,0.4250854151659086,statfootdb_goals,statfootdb
upcoming_eng_1_401879272,2026-09-19,Man City,Sunderland,Erling Haaland,2.57,0.8681535844851774,0.3602474648206021,0.5079061196645753,0.6241874664166325,0.1377130573591466,0.4864744090574858,1,incomplete_team_market_player_set,2.0261175526364053,0.4466738411843259,understat_np_xg,statfootdb
upcoming_eng_1_401879259,2026-10-17,Man City,Ipswich,Erling Haaland,2.292,0.9085753156559478,0.40405878082932,0.5045165348266278,0.6469032547793842,0.1400850490814224,0.5068182056979618,1,incomplete_team_market_player_set,2.39223976757445,0.5176132423331573,understat_np_xg,statfootdb
upcoming_eng_1_401879233,2026-11-21,Man City,Fulham,Erling Haaland,2.559,0.8485367535123367,0.3617706277833518,0.4867661257289849,0.5901616352229951,0.1405199936384462,0.4496416415845489,1,incomplete_team_market_player_set,1.887412280905399,0.449057542667354,understat_np_xg,statfootdb
upcoming_eng_1_401879218,2026-12-02,Man City,Leeds,Erling Haaland,2.443,0.8650406665163122,0.3790511226090187,0.4859895439072935,0.5960228067513222,0.1419179598651076,0.4541048468862146,1,incomplete_team_market_player_set,2.0027817793777825,0.476506523479284,understat_np_xg,statfootdb
upcoming_eng_1_401878742,2026-12-12,Man City,Chelsea,Erling Haaland,2.574,0.8464530124717703,0.3596924427927618,0.4867605696790085,0.5820017821644106,0.1385774241696091,0.4434243579948014,1,incomplete_team_market_player_set,1.8737486511205173,0.4458066599231916,understat_np_xg,statfootdb
upcoming_eng_1_401879199,2026-12-19,Man City,Hull,Erling Haaland,2.045,0.920644593008319,0.4527513818204359,0.4678932111878831,0.6776886864082138,0.1613684138624636,0.5163202725457502,1,incomplete_team_market_player_set,2.5338186932892355,0.6028520676082749,understat_np_xg,statfootdb
upcoming_eng_1_401879169,2027-01-06,Nott'm Forest,Hull,Chris Wood,2.719,0.8393431394813499,0.3405647180326833,0.4987784214486666,0.6062232877280349,0.138148041211927,0.4680752465161079,1,incomplete_team_market_player_set,1.8284844895785892,0.4163714436077018,understat_np_xg,statfootdb
upcoming_eng_1_401878698,2027-02-27,Man City,Hull,Erling Haaland,2.759,0.8206613274538025,0.3355958117837645,0.4850655156700379,0.5893378761380242,0.1403189030603504,0.4490189730776738,1,incomplete_team_market_player_set,1.7184792353692164,0.4088645975057384,understat_np_xg,statfootdb
upcoming_eng_1_401879090,2027-04-24,Newcastle,Ipswich,Alexander Isak,2.732,0.8021469210349219,0.3389298130438949,0.463217107991027,0.5612690216835525,0.1434826933630996,0.4177863283204529,1,incomplete_team_market_player_set,1.6202305491536315,0.4138952617778964,statfootdb_goals,statfootdb
upcoming_eng_1_401879080,2027-05-08,Newcastle,Coventry,Alexander Isak,2.801,0.7921082321063628,0.3305187255083441,0.4615895065980187,0.5493677653698399,0.1404396971834768,0.408928068186363,1,incomplete_team_market_player_set,1.5707376813733325,0.4012520836346583,statfootdb_goals,statfootdb
